code,city,region,slug,lat,lon,tz_offset
8G63G,Москва,Москва,pogoda_v_moskve,55.752,37.6178,3
av8X,Санкт-Петербург,Санкт-Петербург,pogoda_v_sankt-peterburge,59.9386,30.3141,3
533X,Белгород,Белгородская Область,pogoda_v_belgorode,50.6034,36.5809,3
9f4X,Брянск,Брянская Область,pogoda_v_bryanske,53.271,34.3214,3
8r4X,Владимир,Владимирская область,pogoda_vo_vladimire,56.1385,40.3998,3
yU4X,Воронеж,Воронежская Область,pogoda_v_voronezhe,51.6683,39.192,3
Qp5X,Иваново,Ивановская Область,pogoda_v_ivanovo,56.9999,40.9726,3
3X5X,Калуга,Калужская Область,pogoda_v_kaluge,54.5306,36.27,3
QG6X,Кострома,Костромская Область,pogoda_v_kostrome,57.7664,40.9283,3
BS6X,Курск,Курская Область,pogoda_v_kurske,51.7269,36.1846,3
1X6X,Липецк,Липецкая Область,pogoda_v_lipecke,52.5876,39.5515,3
n37X,Орёл,Орловская Область,pogoda_v_orle,52.9688,36.0791,3
ct8X,Рязань,Рязанская Область,pogoda_v_ryazani,54.627,39.7041,3
638X,Смоленск,Смоленская Область,pogoda_v_smolenske,54.7783,32.0509,3
2G9X,Тамбов,Тамбовская Область,pogoda_v_tambove,52.7363,41.441,3
wi9X,Тверь,Тверская Область,pogoda_v_tveri,56.8584,35.9006,3
Gp9X,Тула,Тульская Область,pogoda_v_tule,54.1961,37.6182,3
hnay,Ярославль,Ярославская Область,pogoda_v_yaroslavle,57.6299,39.8737,3
ov3X,Архангельск,Архангельская Область,pogoda_v_arhangelyske,64.5461,40.5518,3
7Q7X,Великий Новгород,Новгородская Область,pogoda_v_velikom_novgorode,58.5213,31.271,3
Mt4X,Вологда,Вологодская Область,pogoda_v_vologde,59.2239,39.884,3
iX5X,Калининград,Калининградская Область,pogoda_v_kaliningrade,54.7064,20.511,2
DG7X,Мурманск,Мурманская область,pogoda_v_murmanske,68.9707,33.0749,3
QB8X,Петрозаводск,Карелия,pogoda_v_petrozavodske,61.7849,34.3469,3
al8X,Псков,Псковская Область,pogoda_v_pskove,57.8192,28.3318,3
ke9X,Сыктывкар,Коми,pogoda_v_syktyvkare,61.6639,50.8163,3
SJ7X,Нарьян-Мар,Ненецкий АО,pogoda_v_naryyan-mare,67.6387,53.0037,3
fw3X,Астрахань,Астраханская Область,pogoda_v_astrahani,46.3497,48.0408,4
at4X,Волгоград,Волгоградская Область,pogoda_v_volgograde,48.7138,44.4976,3
oJ6X,Краснодар,Краснодарский край,pogoda_v_krasnodare,45.0453,38.9818,3
p36X,Майкоп,Адыгея,pogoda_v_majkope,44.6079,40.1024,3
iJay,Элиста,Калмыкия,pogoda_v_eliste,46.3079,44.2554,3
cr8X,Ростов-на-Дону,Ростовская Область,pogoda_v_rostove-na-donu,47.22,39.7077,3
Jonc,Симферополь,Крым,pogoda_v_simferopole,44.9572,34.1108,3
o88X,Ставрополь,Ставрополье,pogoda_v_stavropole,45.0344,41.9642,3
f86X,Махачкала,Дагестан,pogoda_v_mahachkale,42.9778,47.5003,3
3i7X,Нальчик,Кабардино-Балкария,pogoda_v_nalychike,43.4981,43.6189,3
7r4X,Владикавказ,Северная Осетия,pogoda_vo_vladikavkaze,43.041,44.6699,3
n54X,Грозный,Чечня,pogoda_v_groznom,43.312,45.6889,3
rth3G,Магас,Ингушетия,pogoda_v_magase,43.2226,44.7726,3
z99X,Черкесск,Карачаево-Черкессия,pogoda_v_cherkesske,44.2238,42.0462,3
Bw5X,Казань,Татарстан,pogoda_v_kazani,55.7887,49.1221,3
rn7X,Нижний Новгород,Нижегородская Область,pogoda_v_nizhnem_novgorode,56.3287,44.002,3
JU8X,Самара,Самарская Область,pogoda_v_samare,53.2077,50.1355,4
rz9X,Уфа,Башкортостан,pogoda_v_ufe,54.7431,55.9678,5
ka8X,Пермь,Пермский край,pogoda_v_permi,58.0105,56.2502,5
Sv8X,Саратов,Саратовская Область,pogoda_v_saratove,51.5405,45.9901,4
Mt9X,Ульяновск,Ульяновская Область,pogoda_v_ulyyanovske,54.3282,48.3866,4
v87X,Пенза,Пензенская Область,pogoda_v_penze,53.1957,45.0108,3
p37X,Оренбург,Оренбургская Область,pogoda_v_orenburge,51.7671,55.0988,5
r75X,Киров,Кировская Область,pogoda_v_kirove,58.5981,49.6578,3
f89X,Чебоксары,Чувашия,pogoda_v_cheboksarah,56.1322,47.246,3
9U5X,Йошкар-Ола,Марий Эл,pogoda_v_joshkar-ole,56.6388,47.8908,3
pv8X,Саранск,Мордовия,pogoda_v_saranske,54.1848,45.1717,3
QQ5X,Ижевск,Удмуртия,pogoda_v_izhevske,56.8522,53.1986,4
te5X,Екатеринбург,Свердловская Область,pogoda_v_ekaterinburge,56.8573,60.6153,5
z89X,Челябинск,Челябинская,pogoda_v_chelyabinske,55.1611,61.4288,5
er9X,Тюмень,Тюмень,pogoda_v_tyumeni,57.1522,65.5272,5
Qr6X,Курган,Курганская Область,pogoda_v_kurgane,55.449,65.3434,5
829X,Ханты-Мансийск,Ханты-Мансийский АО,pogoda_v_hanty-mansijske,61.0019,69.0273,5
9t8X,Салехард,Ямало-Ненецкий АО,pogoda_v_saleharde,66.5337,66.6095,5
lU7X,Новосибирск,Новосибирская Область,pogoda_v_novosibirske,55.0226,82.9317,7
U27X,Омск,Омская Область,pogoda_v_omske,54.9924,73.3686,6
XM9X,Томск,Томская Область,pogoda_v_tomske,56.5005,84.9822,7
zk6X,Красноярск,Красноярский Край,pogoda_v_krasnoyarske,56.0374,92.9314,7
z13X,Барнаул,Алтайский Край,pogoda_v_barnaule,53.362,83.7279,7
h55X,Кемерово,Кузба́сс,pogoda_v_kemerovo,55.3542,86.1043,7
U3tc8B,Иркутск,Иркутская Область,pogoda_v_irkutske,52.2957,104.2908,8
6Bay,Чита,Забайкальский Край,pogoda_v_chite,52.0431,113.4917,9
at9X,Улан-Удэ,Бурятия,pogoda_v_ulan-ude,51.8265,107.5998,8
38nc,Абакан,Хакасия,pogoda_v_abakane,53.7154,91.4259,7
et6X,Кызыл,Республика Тыва,pogoda_v_kyzyle,51.7111,94.4378,7
224X,Горно-Алтайск,Алтай,pogoda_v_gorno-altajske,51.9606,85.9189,7
5r4X,Владивосток,Приморский Край,pogoda_vo_vladivostoke,43.1056,131.8735,10
c29X,Хабаровск,Хабаровский Край,pogoda_v_habarovske,48.462,135.0971,10
t83X,Благовещенск,Амурская Область,pogoda_v_blagoveshchenske,50.2759,127.5264,9
BMay,Якутск,Саха (Якутия),pogoda_v_yakutske,62.0311,129.7229,9
Mkay,Южно-Сахалинск,Сахалин,pogoda_v_yuzhno-sahalinske,46.9543,142.7356,11
B36X,Магадан,Магаданская Область,pogoda_v_magadane,59.5627,150.8021,11
XB8X,Петропавловск-Камчатский,Камчатский край,pogoda_v_petropavlovske-kamchatskom,53.0639,158.6275,12
cS3X,Анадырь,Чукотский АО,pogoda_v_anadyre,64.7342,177.5103,12
773X,Биробиджан,Еврейская АО,pogoda_v_birobidzhane,48.793,132.9203,10
